Quý,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
'3/2017,"2,270,919,148,267","93,898,789,877","2,177,020,358,390","1,869,600,204,127","307,420,154,263","120,630,044,402","62,289,690,800","61,476,923,007","57,368,608","82,519,941,609","122,788,948,137","160,508,986,727","3,247,513,432","29,125,403,600","-25,877,890,168","134,631,096,559","45,787,426,007","1,388,925,158","87,454,745,394","86,110,732,256","1,344,013,138",,
'4/2017,"8,666,155,545,402","322,078,426,241","8,344,077,119,161","7,729,980,416,299","614,096,702,862","355,281,140,792","175,742,697,560","175,676,213,896","19,957,050,164","187,109,605,994","224,447,758,096","402,034,832,168","10,068,955,268","63,242,145,878","-53,173,190,610","348,861,641,558","103,471,269,851","-2,809,373,867","248,199,745,574","242,688,683,619","5,511,061,955",,
'1/2018,"2,266,254,982,864","59,541,858,984","2,206,713,123,880","1,979,124,941,218","227,588,182,662","132,867,050,145","78,783,858,748","78,626,343,853","2,421,944,511","46,010,571,379","96,762,230,122","141,320,517,069","1,328,047,158","3,291,802,456","-1,963,755,298","139,356,761,771","37,196,976,609","2,838,772,915","99,321,012,247","95,612,927,126","3,708,085,121",146,
'2/2018,"3,030,043,523,284","42,330,582,456","2,987,712,940,828","2,640,491,949,178","347,220,991,650","162,757,385,913","169,649,801,789","84,024,406,200","3,853,036,485","164,754,396,516","92,409,314,342","87,017,901,401","1,620,607,015","22,353,855,712","-20,733,248,697","66,284,652,704","40,711,571,467","156,832,918","25,416,248,319","25,346,047,340","70,200,979",,
'3/2018,"2,469,497,930,394","99,494,818,968","2,370,003,111,426","2,157,522,409,766","212,480,701,660","178,757,126,642","57,609,819,255","80,386,892,807","-5,031,586,384","115,534,790,528","83,237,844,897","129,823,787,238","1,511,594,479","16,473,661,791","-14,962,067,312","114,861,719,926","34,277,768,521","-2,810,269,407","83,394,220,812","77,045,265,869","6,348,954,943",,
'4/2018,"4,266,027,387,303","118,623,257,206","4,147,404,130,097","3,814,455,714,488","332,948,415,609","419,020,507,773","155,585,374,511","65,892,360,829","1,447,428,040","176,995,508,395","158,690,307,847","262,145,160,669","45,978,948,442","31,912,174,483","14,066,773,959","276,211,934,628","60,155,854,478","2,169,048,270","213,887,031,880","221,844,960,677","-7,957,928,797",,
'1/2019,"3,018,632,297,177","38,947,418,182","2,979,684,878,995","2,895,316,765,430","84,368,113,565","311,735,513,049","112,358,698,225","86,910,463,669","-52,054,958","96,610,899,715","156,720,849,666","30,361,124,050","52,027,057,992","10,375,315,484","41,651,742,508","72,012,866,558","63,896,677,558",,"8,116,189,000","7,680,984,861","435,204,139",,
'2/2019,"3,275,825,938,062","20,622,600,659","3,255,203,337,403","3,306,080,882,973","-50,877,545,570","728,601,501,482","188,865,177,825","173,415,817,317","426,407,037","190,133,712,356","196,814,928,246","102,336,544,522","68,434,376,874","91,599,668,190","-23,165,291,316","79,171,253,206","63,746,333,818","2,231,007,147","13,193,912,241","14,692,388,193","-1,498,475,952",,
'3/2019,"5,196,127,288,681","5,779,053,212","5,190,348,235,469","5,132,090,653,017","58,257,582,452","466,335,926,216","134,925,103,879","126,728,298,700","-56,859,558","114,555,975,453","163,415,569,387","111,640,000,391","4,969,247,142","7,291,498,790","-2,322,251,648","109,317,748,743","52,328,436,715","-7,466,335,269","64,455,647,297","24,098,873,841","40,356,773,456",,
'4/2019,"5,092,661,827,342","84,463,453,114","5,008,198,374,228","5,376,400,632,906","-368,202,258,678","1,481,920,777,565","123,804,718,436","113,361,776,525","-262,264,074","190,797,779,424","225,759,073,565","573,094,683,388","412,547,159","68,405,172,104","-67,992,624,945","505,102,058,443","-80,248,439,539","-5,579,552,852","590,930,050,834","219,202,187,453","371,727,863,381",,
'1/2020,"4,767,539,712,255","30,954,545","4,767,508,757,710","6,215,043,895,321","-1,447,535,137,611","211,783,591,926","367,912,725,118","130,819,935,051","144,152,598","114,501,080,932","166,588,193,778","-1,884,609,392,915","2,913,134,490","4,976,376,433","-2,063,241,943","-1,886,672,634,858","4,859,539,761",,"-1,891,532,174,619","-1,171,562,132,152","-719,970,042,467",,
'2/2020,"1,722,339,506,366","104,522,908","1,722,234,983,458","2,464,759,568,825","-742,524,585,367","241,561,210,548","168,429,839,581","114,215,806,943","632,642,372","64,143,355,598","107,404,927,240","-840,308,854,866","5,447,235,230","3,947,332,059","1,499,903,171","-838,808,951,695","-978,174,900",,"-837,830,776,795","-376,696,341,251","-461,134,435,544",,
'3/2020,"3,436,849,852,247","13,061,351,772","3,423,788,500,475","3,750,700,509,082","-326,912,008,607","1,317,210,755,114","127,826,857,468",,"393,204,259","98,493,003,785","136,100,631,601","605,082,927,512","7,457,690,297","34,632,682,793","-27,174,992,496","577,907,935,016","992,158,417",,"576,915,776,599","287,315,195,686","289,600,580,913",,
'4/2020,"3,466,795,222,478","175,056,087","3,466,620,166,391","4,136,593,208,554","-669,973,042,163","3,686,373,513,875","265,661,193,258","172,299,318,188","790,753,825","81,535,635,669","155,361,362,872","2,514,633,033,738","13,423,024,459","26,900,130,571","-13,477,106,112","2,501,155,927,626","104,703,322,287",,"2,396,452,605,339","1,322,046,879,032","1,074,405,726,307",38,
'1/2021,,,,,,,,,,,,,,,,,,,,,,,
'2/2021,,,,,,,,,,,,,,,,,,,,,,,
'3/2021,,,,,,,,,,,,,,,,,,,,,,,
